query	qlen
pre-terminal_protein__YP_009246420__Bat_mastadenovirus_WIV11__1788433	630
precursor_p4a_of_core_protein_4a__YP_233011__Vaccinia_virus__10245	891
premembrane_protein__NP_740274__Louping_ill_virus__11086	169
probable_membrane_glycoprotein__NP_050267__Human_betaherpesvirus_6B__32604	156
profilin-like_protein__YP_009408540__NY_014_poxvirus__2025360	133
profilin-like_protein__YP_010085623__Akhmeta_virus__2200830	133
profilin-like_protein__YP_233049__Vaccinia_virus__10245	133
prostaglandin_G_H_synthase_2__YP_004935976__Cercopithecine_betaherpesvirus_5__50292	603
protease_2A__NP_740416__Enterovirus_D__138951	143
protease_2A__NP_740477__Enterovirus_C__138950	149
protease_2A__NP_740530__Enterovirus_A__138948	150
protease_2A__YP_009268634__enterovirus_A114__2760809	150
protease_3C__NP_740400__Rhinovirus_A__147711	183
protease_3C__NP_740421__Enterovirus_D__138951	183
protease_3C__NP_740476__Enterovirus_C__138950	183
protease_3C__NP_740535__Enterovirus_A__138948	183
protease__NP_040526__Human_mastadenovirus_C__129951	204
protease__NP_040863__Human_mastadenovirus_F__130309	205
protease__NP_040925__Human_mastadenovirus_A__129875	206
protease__YP_001974454__Human_mastadenovirus_D__130310	209
protease__YP_002213780__Human_mastadenovirus_B__108098	209
protease__YP_002213813__Human_mastadenovirus_B__108098	209
protease__YP_002455785__Human_T-lymphotropic_virus_4__318279	213
protease__YP_009246357__Bat_mastadenovirus_WIV9__1788436	205
protease__YP_009246390__Bat_mastadenovirus_WIV10__1788432	205
protease__YP_009246429__Bat_mastadenovirus_WIV11__1788433	205
protease_assembly_protein__NP_042946__Human_betaherpesvirus_6A__32603	528
protease_helicase_protein_NS3__NP_803144__Hepatitis_C_virus_genotype_1__41856	631
protease_nsP2__NP_740697__Venezuelan_equine_encephalitis_virus__11036	794
protease_p150__YP_004617077__Rubella_virus__11041	1301
protein_13.6K__NP_040517__Human_mastadenovirus_C__129951	145
protein_13.6K__NP_040916__Human_mastadenovirus_A__129875	142
protein_13.6K__YP_001974467__Human_mastadenovirus_D__130310	129
protein_13.6K__YP_002213771__Human_mastadenovirus_B__108098	139
protein_13.6K__YP_002213804__Human_mastadenovirus_B__108098	139
protein_1A__NP_740402__Encephalomyocarditis_virus__12104	70
protein_1B__NP_740403__Encephalomyocarditis_virus__12104	256
protein_1C__NP_740404__Encephalomyocarditis_virus__12104	231
protein_1D__NP_740405__Encephalomyocarditis_virus__12104	277
protein_2A__NP_740406__Encephalomyocarditis_virus__12104	143
protein_2B__NP_740407__Encephalomyocarditis_virus__12104	150
protein_2B__NP_740417__Enterovirus_D__138951	99
protein_2B__NP_740472__Enterovirus_C__138950	97
protein_2C__NP_740408__Encephalomyocarditis_virus__12104	325
protein_2C__NP_740473__Enterovirus_C__138950	329
protein_2C__NP_740532__Enterovirus_A__138948	329
protein_33K__NP_040529__Human_mastadenovirus_C__129951	228
protein_33K__NP_040866__Human_mastadenovirus_F__130309	211
protein_33K__NP_597783__Human_mastadenovirus_A__129875	205
protein_33K__YP_001974455__Human_mastadenovirus_D__130310	173
protein_33K__YP_002213783__Human_mastadenovirus_B__108098	234
protein_33K__YP_002213816__Human_mastadenovirus_B__108098	226
protein_33K__YP_005271195__bat_adenovirus_3__2758098	164
protein_3AB__NP_740409__Encephalomyocarditis_virus__12104	108
protein_3AB__YP_007353733__Enterovirus_C__138950	109
protein_3A__NP_740419__Enterovirus_D__138951	89
protein_3A__NP_740474__Enterovirus_C__138950	87
protein_3A__NP_740533__Enterovirus_A__138948	86
protein_3CD__YP_007353734__Enterovirus_C__138950	644
protein_3C__NP_740410__Encephalomyocarditis_virus__12104	205
protein_3D__NP_740411__Encephalomyocarditis_virus__12104	460
protein_3__YP_003768__Human_coronavirus_NL63__277944	225
protein_A73__YP_401714__Human_gammaherpesvirus_4__10376	126
protein_BARF0,_partial__YP_401716__Human_gammaherpesvirus_4__10376	471
protein_BARF1__YP_401719__Human_gammaherpesvirus_4__10376	221
protein_BLLF2__YP_401668__Human_gammaherpesvirus_4__10376	148
protein_BNLF2a__YP_401721__Human_gammaherpesvirus_4__10376	60
protein_BNLF2b__YP_401720__Human_gammaherpesvirus_4__10376	98
protein_BWRF1,_partial__YP_401635__Human_gammaherpesvirus_4__10376	383
protein_BWRF1,_partial__YP_401637__Human_gammaherpesvirus_4__10376	383
protein_BWRF1,_partial__YP_401638__Human_gammaherpesvirus_4__10376	383
protein_BWRF1,_partial__YP_401639__Human_gammaherpesvirus_4__10376	383
protein_BWRF1,_partial__YP_401640__Human_gammaherpesvirus_4__10376	383
protein_BWRF1,_partial__YP_401641__Human_gammaherpesvirus_4__10376	383
protein_BWRF1,_partial__YP_401642__Human_gammaherpesvirus_4__10376	383
protein_BWRF1,_partial__YP_401643__Human_gammaherpesvirus_4__10376	383
protein_C,_partial__YP_003587923__Vesicular_stomatitis_Indiana_virus__11277	67
protein_C__YP_009094367__Almpiwar_virus__318843	126
protein_DR1__YP_073744__Human_betaherpesvirus_7__10372	475
protein_DR1__YP_073828__Human_betaherpesvirus_7__10372	475
protein_DR6__YP_073745__Human_betaherpesvirus_7__10372	406
protein_DR6__YP_073829__Human_betaherpesvirus_7__10372	406
protein_E4_34K__YP_005271202__bat_adenovirus_3__2758098	260
protein_E6__YP_009268707__Human_papillomavirus_type_16__333760	50
protein_E__NP_828854__SARS_coronavirus_Tor2__227984	76
protein_F__NP_803170__Hepatitis_C_virus_genotype_1__41856	161
protein_F__YP_009272631__Hepatitis_C_virus_genotype_3__356114	125
protein_F__YP_009272634__Hepatitis_C_virus_genotype_4__33745	125
protein_F__YP_009272646__Hepatitis_C_virus_genotype_5__33746	125
protein_F__YP_009305096__Hepatitis_C_virus_genotype_7__1544901	120
protein_G10__YP_401709__Human_gammaherpesvirus_4__10376	469
protein_G49__YP_401675__Human_gammaherpesvirus_4__10376	310
protein_O11__YP_004936100__Cercopithecine_betaherpesvirus_5__50292	77
protein_O13__YP_004936101__Cercopithecine_betaherpesvirus_5__50292	177
protein_O14__YP_004936102__Cercopithecine_betaherpesvirus_5__50292	167
protein_O15__YP_004936103__Cercopithecine_betaherpesvirus_5__50292	216
protein_O16__YP_004936104__Cercopithecine_betaherpesvirus_5__50292	187
protein_O17__YP_004936105__Cercopithecine_betaherpesvirus_5__50292	152
protein_O18__YP_004936106__Cercopithecine_betaherpesvirus_5__50292	297
protein_O19__YP_004936107__Cercopithecine_betaherpesvirus_5__50292	175
protein_O21__YP_004936110__Cercopithecine_betaherpesvirus_5__50292	191
protein_O22__YP_004936111__Cercopithecine_betaherpesvirus_5__50292	212
protein_O23__YP_004936112__Cercopithecine_betaherpesvirus_5__50292	141
protein_O24__YP_004936145__Cercopithecine_betaherpesvirus_5__50292	105
protein_O25__YP_004936146__Cercopithecine_betaherpesvirus_5__50292	118
protein_O3__YP_004935972__Cercopithecine_betaherpesvirus_5__50292	68
protein_O6__YP_004935974__Cercopithecine_betaherpesvirus_5__50292	80
protein_O7__YP_004935975__Cercopithecine_betaherpesvirus_5__50292	72
protein_O8__YP_004935992__Cercopithecine_betaherpesvirus_5__50292	96
protein_O9__YP_004935993__Cercopithecine_betaherpesvirus_5__50292	66
protein_RL11E__YP_004935971__Cercopithecine_betaherpesvirus_5__50292	198
protein_RL1__NP_783767__Human_herpesvirus_5__10359	311
protein_RL1__NP_783802__Human_herpesvirus_5__10359	311
protein_RL1__YP_081455__Human_betaherpesvirus_5__10359	310
protein_RL5A__YP_081456__Human_betaherpesvirus_5__10359	95
protein_RL6__NP_783768__Human_herpesvirus_5__10359	111
protein_RL6__NP_783801__Human_herpesvirus_5__10359	111
protein_RL6__YP_081457__Human_betaherpesvirus_5__10359	111
protein_RL8A__YP_004940329__Human_betaherpesvirus_5__10359	90
protein_RL9A__YP_004940330__Human_betaherpesvirus_5__10359	47
protein_RPMS1__YP_401710__Human_gammaherpesvirus_4__10376	103
protein_Rta__YP_401674__Human_gammaherpesvirus_4__10376	605
protein_U,_partial__NP_040874__Human_mastadenovirus_F__130309	52
protein_U,_partial__NP_597754__Human_mastadenovirus_C__129951	54
protein_U,_partial__YP_001974433__Human_mastadenovirus_D__130310	48
protein_U,_partial__YP_002213834__Human_mastadenovirus_B__108098	52
protein_U,_partial__YP_002213845__Human_mastadenovirus_B__108098	53
protein_U,_partial__YP_002640222__Human_mastadenovirus_A__129875	52
protein_U13__YP_073754__Human_betaherpesvirus_7__10372	98
protein_U15__YP_073756__Human_betaherpesvirus_7__10372	191
protein_U24A__YP_073764__Human_betaherpesvirus_7__10372	56
protein_U24__YP_073763__Human_betaherpesvirus_7__10372	82
protein_U55B__YP_073797__Human_betaherpesvirus_7__10372	430
protein_U95__YP_073826__Human_betaherpesvirus_7__10372	940
protein_UL112__YP_002608294__Human_herpesvirus_5__10359	684
protein_UL112__YP_004936072__Cercopithecine_betaherpesvirus_5__50292	523
protein_UL112__YP_073818__Human_betaherpesvirus_7__10372	506
protein_UL116__NP_783794__Human_herpesvirus_5__10359	314
protein_UL116__YP_004936075__Cercopithecine_betaherpesvirus_5__50292	364
protein_UL116__YP_081556__Human_betaherpesvirus_5__10359	313
protein_UL117__YP_002608296__Human_herpesvirus_5__10359	424
protein_UL117__YP_004936076__Cercopithecine_betaherpesvirus_5__50292	379
protein_UL117__YP_073821__Human_betaherpesvirus_7__10372	310
protein_UL117__YP_081557__Human_betaherpesvirus_5__10359	425
protein_UL133__YP_081581__Human_betaherpesvirus_5__10359	257
protein_UL135__YP_081580__Human_betaherpesvirus_5__10359	308
protein_UL136__YP_081579__Human_betaherpesvirus_5__10359	240
protein_UL138__YP_081578__Human_betaherpesvirus_5__10359	169
protein_UL13__YP_002608233__Human_herpesvirus_5__10359	473
protein_UL13__YP_004935990__Cercopithecine_betaherpesvirus_5__50292	453
protein_UL13__YP_081472__Human_betaherpesvirus_5__10359	473
protein_UL140__YP_081576__Human_betaherpesvirus_5__10359	191
protein_UL145__YP_004936097__Cercopithecine_betaherpesvirus_5__50292	98
protein_UL145__YP_081572__Human_betaherpesvirus_5__10359	130
protein_UL148A__YP_081582__Human_betaherpesvirus_5__10359	80
protein_UL148B__YP_081583__Human_betaherpesvirus_5__10359	80
protein_UL148C__YP_081584__Human_betaherpesvirus_5__10359	77
protein_UL148D__YP_081585__Human_betaherpesvirus_5__10359	62
protein_UL150A__YP_004940331__Human_betaherpesvirus_5__10359	271
protein_UL15A__NP_783774__Human_herpesvirus_5__10359	102
protein_UL15A__YP_081474__Human_betaherpesvirus_5__10359	102
protein_UL17__YP_002608235__Human_herpesvirus_5__10359	104
protein_UL17__YP_004935994__Cercopithecine_betaherpesvirus_5__50292	105
protein_UL17__YP_081476__Human_betaherpesvirus_5__10359	104
protein_UL19__YP_002608237__Human_herpesvirus_5__10359	98
protein_UL19__YP_004935995__Cercopithecine_betaherpesvirus_5__50292	96
protein_UL19__YP_081478__Human_betaherpesvirus_5__10359	98
protein_UL21A__NP_783775__Human_herpesvirus_5__10359	123
protein_UL21A__YP_004935997__Cercopithecine_betaherpesvirus_5__50292	128
protein_UL21A__YP_081480__Human_betaherpesvirus_5__10359	123
protein_UL27__YP_002608241__Human_herpesvirus_5__10359	608
tegument_protein__NP_050245__Human_betaherpesvirus_6B__32604	335
tegument_protein_pp150__YP_004936008__Cercopithecine_betaherpesvirus_5__50292	742
tegument_protein_pp65__YP_002608275__Human_herpesvirus_5__10359	561
tegument_protein_pp65__YP_073795__Human_betaherpesvirus_7__10372	454
tegument_protein_pp65__YP_081531__Human_betaherpesvirus_5__10359	561
tegument_protein_pp71__YP_002608274__Human_herpesvirus_5__10359	559
tegument_protein_pp71__YP_004936048__Cercopithecine_betaherpesvirus_5__50292	545
tegument_protein_pp71__YP_081530__Human_betaherpesvirus_5__10359	559
tegument_protein_vICA__YP_002608246__Human_herpesvirus_5__10359	476
tegument_protein_vICA__YP_004936012__Cercopithecine_betaherpesvirus_5__50292	476
tegument_protein_vICA__YP_073757__Human_betaherpesvirus_7__10372	330
tegument_protein_vICA__YP_081495__Human_betaherpesvirus_5__10359	476
tegument_serine_threonine_protein_kinase__NP_040169__Human_alphaherpesvirus_3__10335	510
tegument_serine_threonine_protein_kinase__NP_851872__Macacine_alphaherpesvirus_1__10325	514
tegument_protein_VP22__YP_009137201__Human_alphaherpesvirus_2__10310	300
tegument_protein_VP22__YP_443896__Papiine_alphaherpesvirus_2__340907	285
tegument_protein__NP_050244__Human_betaherpesvirus_6B__32604	442
tegument_protein_VP22__NP_851909__Macacine_alphaherpesvirus_1__10325	289
tegument_protein_VP22__YP_009137124__Human_alphaherpesvirus_1__10298	301
tegument_protein_VP22__NP_040132__Human_alphaherpesvirus_3__10335	302
tegument_protein_VP13_14__YP_443894__Papiine_alphaherpesvirus_2__340907	680
tegument_protein_VP13_14__YP_009137199__Human_alphaherpesvirus_2__10310	696
tegument_protein_VP13_14__YP_009137122__Human_alphaherpesvirus_1__10298	693
CPXV107_protein__NP_619892__Cowpox_virus__10243	185
CPXV108_protein__NP_619893__Cowpox_virus__10243	133
CPXV105_protein__NP_619890__Cowpox_virus__10243	177
E1__YP_009163893__Human_papillomavirus__10566	600
E1__YP_009175016__human_papillomavirus_163__1315262	607
E1__YP_009362308__Human_papillomavirus_type_85__652810	636
E1__YP_009507293__Human_papillomavirus_type_161__1315264	604
E1__YP_009507299__Human_papillomavirus_172__1434987	600
E1__YP_009507306__Human_papillomavirus_175__1434782	607
E1__YP_009508894__Human_papillomavirus_187__1851130	603
E1__YP_009551932__Gammapapillomavirus_sp.__2049444	610
E1__YP_009552550__Gammapapillomavirus_sp.__2049444	613
E1__YP_009552557__Gammapapillomavirus_sp.__2049444	609
E1__YP_009553021__Gammapapillomavirus_sp.__2049444	596
E1__YP_009553034__Gammapapillomavirus_sp.__2049444	610
E1__YP_009553511__Gammapapillomavirus_sp.__2049444	608
DR6__YP_009458642__Human_betaherpesvirus_6A__32603	389
DUF1029_domain_protein__YP_010377123__Monkeypox_virus__10244	53
Double-stranded_RNA_binding_protein__YP_010377048__Monkeypox_virus__10244	153
E1-E4__YP_003858575__Human_papillomavirus_127__746832	127
E1A__YP_009246342__Bat_mastadenovirus_WIV9__1788436	228
E1A__YP_009246375__Bat_mastadenovirus_WIV10__1788432	228
E1A__YP_009246414__Bat_mastadenovirus_WIV11__1788433	229
DNA_terminal_protein_pTP__YP_005271183__bat_adenovirus_3__2758098	609
DNA_topoisomerase_type-1__YP_010085560__Akhmeta_virus__2200830	314
DNA_topoisomerase_type_I__NP_042133__Variola_virus__10255	314
DNA_replication_origin-binding_helicase__YP_009137160__Human_alphaherpesvirus_2__10310	871
VP2__YP_009679036__Norovirus_GII_Hu_JP_2007_GII.P15_GII.15_Sapporo_HK299__1529918	243
VP2__YP_009679039__Norovirus_GII_Hu_JP_2011_GII_Yuzawa_Gira2HS__1529924	242
VP2__YP_009700095__Norovirus_GI__122928	209
VP2__YP_009518837__Norovirus_GII.17__552592	259
Try_Ser_phosphatase__YP_010085555__Akhmeta_virus__2200830	171
Type-I_membrane_glycoprotein__YP_010377150__Monkeypox_virus__10244	196
Type_1_IFN_inhibitor__YP_009408582__NY_014_poxvirus__2025360	123
Tyr_ser_protein_phosphatase__YP_010377088__Monkeypox_virus__10244	171
U10__NP_042901__Human_betaherpesvirus_6A__32603	503
U13__NP_042905__Human_betaherpesvirus_6A__32603	106
U14__NP_042906__Human_betaherpesvirus_6A__32603	609
U15__NP_042907__Human_betaherpesvirus_6A__32603	191
U17__NP_042910__Human_betaherpesvirus_6A__32603	334
U19__NP_042912__Human_betaherpesvirus_6A__32603	389
membrane_protein_UL10__YP_081470__Human_betaherpesvirus_5__10359	254
membrane_protein_UL120__YP_002608297__Human_herpesvirus_5__10359	201
membrane_protein_UL120__YP_004936078__Cercopithecine_betaherpesvirus_5__50292	205
membrane_protein_UL120__YP_081559__Human_betaherpesvirus_5__10359	201
membrane_protein_UL121__YP_002608298__Human_herpesvirus_5__10359	180
membrane_protein_UL121__YP_004936079__Cercopithecine_betaherpesvirus_5__50292	180
membrane_protein_UL121__YP_081560__Human_betaherpesvirus_5__10359	180
protein_UL27__YP_004936004__Cercopithecine_betaherpesvirus_5__50292	570
protein_UL27__YP_073748__Human_betaherpesvirus_7__10372	542
protein_UL27__YP_081486__Human_betaherpesvirus_5__10359	608
protein_UL29__YP_002608242__Human_herpesvirus_5__10359	701
protein_UL29__YP_004936005__Cercopithecine_betaherpesvirus_5__50292	673
protein_UL29__YP_081487__Human_betaherpesvirus_5__10359	700
protein_UL2__YP_002608225__Human_herpesvirus_5__10359	60
protein_UL2__YP_081463__Human_betaherpesvirus_5__10359	59
protein_UL30A__YP_007947989__Human_betaherpesvirus_5__10359	79
protein_UL30A__YP_007969872__Cercopithecine_betaherpesvirus_5__50292	80
protein_UL30__YP_002608243__Human_herpesvirus_5__10359	121
protein_UL30__YP_004936006__Cercopithecine_betaherpesvirus_5__50292	76
protein_UL30__YP_081489__Human_betaherpesvirus_5__10359	121
protein_UL31__NP_783780__Human_herpesvirus_5__10359	595
protein_UL31__YP_004936007__Cercopithecine_betaherpesvirus_5__50292	531
protein_UL31__YP_073751__Human_betaherpesvirus_7__10372	451
protein_UL31__YP_081490__Human_betaherpesvirus_5__10359	595
protein_UL34__NP_783782__Human_herpesvirus_5__10359	407
protein_UL34__YP_004936010__Cercopithecine_betaherpesvirus_5__50292	285
protein_UL34__YP_081493__Human_betaherpesvirus_5__10359	407
protein_UL38__YP_002608248__Human_herpesvirus_5__10359	331
protein_UL38__YP_004936014__Cercopithecine_betaherpesvirus_5__50292	293
protein_UL38__YP_073759__Human_betaherpesvirus_7__10372	325
protein_UL38__YP_081497__Human_betaherpesvirus_5__10359	331
protein_UL41A__NP_783783__Human_herpesvirus_5__10359	78
membrane_protein_UL14__NP_783773__Human_herpesvirus_5__10359	327
Trimeric_virion_coat_protein__YP_009408498__NY_014_poxvirus__2025360	549
glycoprotein__YP_009458638__Human_betaherpesvirus_6A__32603	54
glycoprotein__YP_009361871__Le_Dantec_virus__318848	573
membrane_protein_UL124__YP_004936082__Cercopithecine_betaherpesvirus_5__50292	125
membrane_protein_UL124__YP_073825__Human_betaherpesvirus_7__10372	153
membrane_protein_UL124__YP_081563__Human_betaherpesvirus_5__10359	150
membrane_protein_UL147A__YP_004936088__Cercopithecine_betaherpesvirus_5__50292	66
membrane_protein_UL147A__YP_081569__Human_betaherpesvirus_5__10359	75
membrane_protein_UL148__YP_004936087__Cercopithecine_betaherpesvirus_5__50292	323
membrane_protein_UL148__YP_081568__Human_betaherpesvirus_5__10359	316
CPXV089_protein__NP_619876__Cowpox_virus__10243	111
CPXV090_protein__NP_619877__Cowpox_virus__10243	220
CPXV091_protein__NP_619878__Cowpox_virus__10243	124
CPXV092_protein__NP_619879__Cowpox_virus__10243	434
CPXV093_protein__NP_619880__Cowpox_virus__10243	63
CPXV094_protein__NP_619881__Cowpox_virus__10243	167
CPXV095_protein__NP_619882__Cowpox_virus__10243	371
CPXV096_protein__NP_851584__Cowpox_virus__10243	69
CPXV097_protein__NP_619883__Cowpox_virus__10243	260
CPXV098_protein__NP_619884__Cowpox_virus__10243	340
CPXV099_protein__NP_619885__Cowpox_virus__10243	250
CPXV100_protein__NP_851585__Cowpox_virus__10243	88
CPXV101_protein__NP_619886__Cowpox_virus__10243	350
CPXV102_protein__NP_619887__Cowpox_virus__10243	251
CPXV103_protein__NP_619888__Cowpox_virus__10243	128
E1B_protein__YP_009246415__Bat_mastadenovirus_WIV11__1788433	317
E1__YP_003858576__Human_papillomavirus_127__746832	604
E1__YP_004169265__Human_papillomavirus_type_128__931209	605
E1__YP_004169272__Human_papillomavirus_type_129__931210	601
E1__YP_004169279__Human_papillomavirus_type_131__909330	663
E1__YP_004169286__Human_papillomavirus_132__909331	599
E1__YP_004169293__Human_papillomavirus_134__909333	602
E1__YP_006908974__human_papillomavirus_166__1315259	607
E1__YP_008083733__Human_papillomavirus_154__1195796	606
E1__YP_008828147__Human_papillomavirus_167__1420545	604
E1__YP_009134745__Human_papillomavirus_KC5__1647924	600
E1__YP_009158854__Human_papillomavirus_201__1682340	608
DNA_topoisomerase_type_I__NP_938332__Yaba_monkey_tumor_virus__38804	315
DNA_topoisomerase_type_I__YP_009408484__NY_014_poxvirus__2025360	313
DNA_topoisomerase_type_I__YP_010377093__Monkeypox_virus__10244	314
CPXV060_protein__NP_619847__Cowpox_virus__10243	634
CPXV061_protein__NP_619848__Cowpox_virus__10243	372
CPXV062_protein__NP_619849__Cowpox_virus__10243	73
CPXV063_protein__NP_619850__Cowpox_virus__10243	52
CPXV064_protein__NP_619851__Cowpox_virus__10243	158
CPXV065__NP_619852__Cowpox_virus__10243	231
CPXV066_protein__NP_619853__Cowpox_virus__10243	101
CPXV067_protein__NP_619854__Cowpox_virus__10243	479
CPXV068_protein__NP_619855__Cowpox_virus__10243	737
CPXV069_protein__NP_619856__Cowpox_virus__10243	190
CPXV043_protein__NP_619832__Cowpox_virus__10243	88
CPXV044__NP_619833__Cowpox_virus__10243	424
CPXV045_protein__NP_619834__Cowpox_virus__10243	276
CPXV046_protein__NP_619835__Cowpox_virus__10243	149
CPXV047_protein__NP_851580__Cowpox_virus__10243	56
CPXV048__NP_619836__Cowpox_virus__10243	251
CPXV049_protein__NP_619837__Cowpox_virus__10243	147
CPXV050__NP_619838__Cowpox_virus__10243	480
CPXV051A_protein__NP_851581__Cowpox_virus__10243	78
CPXV051_protein__NP_619839__Cowpox_virus__10243	333
CPXV021_protein_or_CPXV_VGF_protein__NP_619810__Cowpox_virus__10243	139
CPXV022_protein__NP_619811__Cowpox_virus__10243	331
CPXV023_protein__NP_619812__Cowpox_virus__10243	242
CPXV024_protein__NP_619813__Cowpox_virus__10243	126
CPXV026_protein__NP_619815__Cowpox_virus__10243	63
CPXV027_protein__NP_619816__Cowpox_virus__10243	632
CPXV028_protein__NP_619817__Cowpox_virus__10243	185
CPXV029_protein__NP_619818__Cowpox_virus__10243	150
CPXV030_protein__NP_619819__Cowpox_virus__10243	155
CPXV031_protein__NP_619820__Cowpox_virus__10243	69
VPg__YP_009518847__Norovirus_GII__122929	133
VPg__YP_009528583__Norovirus_GII.17__552592	133
VPg__YP_009538340_VPg__Norovirus_GI_Hu_JP_2007_GI.P3_GI.3_Shimizu_KK2866__1529909	140
VPg__YP_009555237__Norovirus_GII__122929	133
VPg__YP_009679034_VPg__Norovirus_GII_Hu_JP_2007_GII.P15_GII.15_Sapporo_HK299__1529918	133
VPg__YP_009700093_VPg__Norovirus_GI__122928	138
VPg__YP_009701442__Norovirus_GI__122928	140
VPg__YP_009701451__Norovirus_GII__122929	128
VPg__YP_009701457__Norovirus_GIV__262897	134
VPg__YP_009701463__Norovirus_GI__122928	138
TNF_receptor__YP_010085450__Akhmeta_virus__2200830	348
TNF_receptor__YP_010085458__Akhmeta_virus__2200830	202
Tat__NP_057853__Human_immunodeficiency_virus_1__11676	86
TAP_transporter_inhibitor_ICP47__YP_009137148__Human_alphaherpesvirus_1__10298	88
TAP_transporter_inhibitor_ICP47__YP_009137225__Human_alphaherpesvirus_2__10310	86
TAP_transporter_inhibitor_ICP47__NP_851932__Macacine_alphaherpesvirus_1__10325	81
Serpin__YP_010377174__Monkeypox_virus__10244	357
glycoprotein_gQ__NP_042993__Human_betaherpesvirus_6A__32603	656
glycoprotein_precursor__NP_899212__Machupo_mammarenavirus__11628	496
glycoprotein_precursor__YP_008003508__Lone_Star_virus__1219465	928
putative_metalloprotease__NP_938305__Yaba_monkey_tumor_virus__38804	589
putative_monoglyceride_lipase__YP_009408416__NY_014_poxvirus__2025360	279
protein_X__YP_004928147__Human_parvovirus_B19__10798	81
protein_Zta__YP_401673__Human_gammaherpesvirus_4__10376	245
protein_p7__NP_751922__Hepatitis_C_virus_genotype_1__41856	63
protein_pr__YP_004734464_protein_pr__Tembusu_virus__64293	92
protein_pr__YP_009164951__West_Nile_virus__11082	92
protein_pr__YP_009164956__dengue_virus_type_I__11053	91
protein_pr__YP_009227207__Zika_virus__64320	93
protein_pr__YP_009329947__Saint_Louis_encephalitis_virus__11080	92
protein_pr__YP_009333105__Cacipacore_virus__64305	92
protein_pr__YP_009333117__Murray_Valley_encephalitis_virus__11079	92
protein_pr__YP_009333132__Japanese_encephalitis_virus__11072	92
protein_pr__YP_009430298__Zika_virus__64320	93
protein_with_iActA-like_proline_repeats__YP_232929__Vaccinia_virus__10245	65
proteinase_3C_-picornain_3C-__NP_740736__Parechovirus_A__1803956	194
proteinase__NP_050234__Human_betaherpesvirus_6B__32604	528
protien_2B__NP_740531__Enterovirus_A__138948	99
putative_15-kDa_protein__YP_008431132__Parvovirus_NIH-CQV__1341019	123
protein_US32__YP_004936144__Cercopithecine_betaherpesvirus_5__50292	185
protein_UL41A__YP_004936016__Cercopithecine_betaherpesvirus_5__50292	78
protein_UL41A__YP_081499__Human_betaherpesvirus_5__10359	78
protein_UL42__NP_783784__Human_herpesvirus_5__10359	125
protein_UL42__YP_004936017__Cercopithecine_betaherpesvirus_5__50292	121
protein_UL42__YP_081500__Human_betaherpesvirus_5__10359	125
protein_UL49__YP_002608254__Human_herpesvirus_5__10359	570
protein_UL49__YP_004936025__Cercopithecine_betaherpesvirus_5__50292	490
protein_UL49__YP_073773__Human_betaherpesvirus_7__10372	477
protein_UL49__YP_081508__Human_betaherpesvirus_5__10359	570
protein_UL49__YP_401650__Human_gammaherpesvirus_4__10376	591
protein_UL5__YP_002608227__Human_herpesvirus_5__10359	166
protein_UL5__YP_081465__Human_betaherpesvirus_5__10359	166
protein_UL79__YP_002608271__Human_herpesvirus_5__10359	295
protein_UL79__YP_004936045__Cercopithecine_betaherpesvirus_5__50292	265
protein_UL79__YP_073792__Human_betaherpesvirus_7__10372	254
protein_UL79__YP_081527__Human_betaherpesvirus_5__10359	295
protein_UL79__YP_401726__Human_gammaherpesvirus_4__10376	272
protein_UL83B__YP_004936050__Cercopithecine_betaherpesvirus_5__50292	523
protein_UL84__YP_002608276__Human_herpesvirus_5__10359	586
protein_UL84__YP_004936051__Cercopithecine_betaherpesvirus_5__50292	459
protein_UL84__YP_073796__Human_betaherpesvirus_7__10372	427
protein_UL84__YP_081532__Human_betaherpesvirus_5__10359	587
protein_UL87__YP_002608279__Human_herpesvirus_5__10359	941
protein_UL87__YP_004936054__Cercopithecine_betaherpesvirus_5__50292	838
protein_UL87__YP_073800__Human_betaherpesvirus_7__10372	775
protein_UL87__YP_081535__Human_betaherpesvirus_5__10359	941
protein_UL87__YP_401698__Human_gammaherpesvirus_4__10376	750
protein_UL8__YP_002608230__Human_herpesvirus_5__10359	122
protein_UL91__YP_002608282__Human_herpesvirus_5__10359	111
protein_UL91__YP_004936057__Cercopithecine_betaherpesvirus_5__50292	97
protein_UL91__YP_073803__Human_betaherpesvirus_7__10372	75
protein_UL91__YP_081538__Human_betaherpesvirus_5__10359	111
protein_UL91__YP_401725__Human_gammaherpesvirus_4__10376	77
protein_UL92__YP_002608283__Human_herpesvirus_5__10359	201
protein_UL92__YP_004936058__Cercopithecine_betaherpesvirus_5__50292	235
protein_UL92__YP_073804__Human_betaherpesvirus_7__10372	211
protein_UL92__YP_081539__Human_betaherpesvirus_5__10359	201
protein_UL92__YP_401693__Human_gammaherpesvirus_4__10376	225
thymidylate_kinase__YP_010085630__Akhmeta_virus__2200830	204
thymidylate_kinase__YP_233056__Vaccinia_virus__10245	227
thymidylate_synthase__NP_040136__Human_alphaherpesvirus_3__10335	301
topoisomerase_type_IB__YP_232986__Vaccinia_virus__10245	314
transactivating_tegument_protein_VP16__NP_040133__Human_alphaherpesvirus_3__10335	410
transactivating_tegument_protein_VP16__NP_851908__Macacine_alphaherpesvirus_1__10325	487
